;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
147;{'n_estimators': 56, 'max_depth': 11, 'min_data_in_leaf': 443, 'learning_rate': 0,3923469387755102};Lighgbm;98,54%;90,78%;90,69%;89,84%;90,15%;"[[279   2   5   3]
 [  6 212  16   6]
 [  3   9 224   4]
 [  4  14  15 142]]";91,62%;74,26%;72,71%;71,70%;71,74%;"[[67  3  2  1]
 [ 5 39 11  5]
 [ 2  4 48  6]
 [ 2  8 12 22]]";6,92%
207;{'n_estimators': 118, 'max_depth': 4, 'min_data_in_leaf': 125, 'learning_rate': 0,3434285714285714};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,09%;75,11%;75,56%;72,98%;73,31%;"[[63  6  4  0]
 [ 5 41 10  4]
 [ 3  4 51  2]
 [ 1  9 11 23]]";6,91%
69;{'n_estimators': 64, 'max_depth': 8, 'min_data_in_leaf': 327, 'learning_rate': 0,13144897959183674};Lighgbm;96,94%;84,11%;84,29%;82,48%;82,94%;"[[269   6   9   5]
 [ 13 193  28   6]
 [  3  16 215   6]
 [  5  27  26 117]]";90,03%;75,11%;75,01%;72,45%;72,57%;"[[66  3  4  0]
 [ 3 39 13  5]
 [ 2  4 52  2]
 [ 2 10 11 21]]";6,91%
243;{'n_estimators': 64, 'max_depth': 9, 'min_data_in_leaf': 116, 'learning_rate': 0,017306122448979593};Lighgbm;97,01%;81,14%;82,55%;79,03%;79,52%;"[[262   9  13   5]
 [ 18 181  35   6]
 [  2  15 223   0]
 [  5  29  41 100]]";90,18%;72,57%;73,56%;69,65%;69,73%;"[[66  3  4  0]
 [ 6 36 15  3]
 [ 3  4 51  2]
 [ 2 10 13 19]]";6,83%
78;{'n_estimators': 13, 'max_depth': 15, 'min_data_in_leaf': 212, 'learning_rate': 0,29451020408163264};Lighgbm;97,42%;85,17%;85,42%;83,47%;83,95%;"[[272   4  10   3]
 [ 11 197  24   8]
 [  3  15 218   4]
 [  7  24  27 117]]";90,60%;75,53%;75,50%;73,70%;73,97%;"[[65  4  4  0]
 [ 5 38 12  5]
 [ 2  5 50  3]
 [ 3  5 10 26]]";6,82%
18;{'n_estimators': 99, 'max_depth': 8, 'min_data_in_leaf': 125, 'learning_rate': 0,359734693877551};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,20%;74,26%;73,97%;71,99%;72,25%;"[[63  5  4  1]
 [ 4 43 10  3]
 [ 3  5 48  4]
 [ 3  8 11 22]]";6,80%
252;{'n_estimators': 172, 'max_depth': 6, 'min_data_in_leaf': 135, 'learning_rate': 0,5391020408163265};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,27%;75,11%;75,43%;72,98%;73,40%;"[[65  3  5  0]
 [ 6 40 11  3]
 [ 4  4 49  3]
 [ 2 10  8 24]]";6,73%
253;{'n_estimators': 64, 'max_depth': 4, 'min_samples_leaf': 10, 'criterion': 'entropy'};RandomForest;95,69%;76,80%;80,84%;73,84%;73,96%;"[[257   9  19   4]
 [ 13 160  64   3]
 [  0   6 234   0]
 [  6  32  63  74]]";88,97%;72,57%;74,30%;68,97%;68,47%;"[[67  2  4  0]
 [ 3 35 19  3]
 [ 1  3 55  1]
 [ 1 13 15 15]]";6,72%
276;{'n_estimators': 106, 'max_depth': 10, 'min_data_in_leaf': 366, 'learning_rate': 0,08253061224489797};Lighgbm;96,58%;83,90%;84,58%;82,25%;82,78%;"[[268   8  10   3]
 [ 14 189  31   6]
 [  3  14 219   4]
 [  9  21  29 116]]";89,89%;74,68%;75,04%;71,96%;72,08%;"[[67  2  4  0]
 [ 5 37 14  4]
 [ 2  4 52  2]
 [ 3  9 11 21]]";6,68%
233;{'n_estimators': 60, 'max_depth': 1, 'learning_rate': 0,2129795918367347};XGBoost;97,78%;85,17%;85,87%;83,62%;84,09%;"[[268   5  12   4]
 [ 10 191  32   7]
 [  2   9 226   3]
 [  5  20  31 119]]";91,15%;74,26%;75,97%;71,77%;72,11%;"[[66  3  4  0]
 [ 6 36 15  3]
 [ 2  5 52  1]
 [ 4  6 12 22]]";6,63%
114;{'n_estimators': 91, 'max_depth': 14, 'min_data_in_leaf': 423, 'learning_rate': 0,14775510204081632};Lighgbm;97,42%;86,02%;86,30%;84,52%;84,96%;"[[271   7   9   2]
 [ 10 196  25   9]
 [  4   9 223   4]
 [  8  19  26 122]]";90,81%;75,11%;74,60%;72,30%;72,45%;"[[68  2  3  0]
 [ 4 39 12  5]
 [ 3  5 50  2]
 [ 1 12 10 21]]";6,61%
144;{'n_estimators': 99, 'max_depth': 11, 'min_data_in_leaf': 222, 'learning_rate': 0,033612244897959186};Lighgbm;97,23%;84,00%;84,73%;82,28%;82,76%;"[[266   9  10   4]
 [ 16 190  28   6]
 [  2  11 224   3]
 [  7  22  33 113]]";90,89%;75,95%;77,36%;73,51%;73,86%;"[[65  4  4  0]
 [ 5 40 13  2]
 [ 2  3 53  2]
 [ 3  8 11 22]]";6,34%
135;{'n_estimators': 103, 'max_depth': 18, 'min_data_in_leaf': 433, 'learning_rate': 0,09883673469387755};Lighgbm;96,53%;83,16%;83,61%;81,44%;81,93%;"[[266  12   9   2]
 [ 16 188  28   8]
 [  4  13 218   5]
 [ 10  25  27 113]]";90,25%;73,84%;73,53%;71,05%;71,02%;"[[66  2  4  1]
 [ 6 37 12  5]
 [ 2  5 52  1]
 [ 3 10 11 20]]";6,29%
40;{'n_estimators': 188, 'max_depth': 17, 'min_samples_leaf': 39, 'criterion': 'gini'};RandomForest;95,33%;77,75%;80,63%;75,10%;75,31%;"[[252  17  17   3]
 [ 16 174  46   4]
 [  1  11 228   0]
 [  7  39  49  80]]";89,17%;73,00%;74,78%;69,68%;69,40%;"[[65  3  5  0]
 [ 2 37 17  4]
 [ 1  4 55  0]
 [ 1 14 13 16]]";6,16%
225;{'n_estimators': 87, 'max_depth': 13, 'min_data_in_leaf': 433, 'learning_rate': 0,09883673469387755};Lighgbm;96,07%;82,63%;82,90%;80,83%;81,27%;"[[267  11   9   2]
 [ 18 185  28   9]
 [  2  15 217   6]
 [  9  27  28 111]]";89,95%;73,42%;72,58%;70,63%;70,59%;"[[66  3  3  1]
 [ 6 37 12  5]
 [ 2  5 51  2]
 [ 3 11 10 20]]";6,13%
13;{'n_estimators': 48, 'max_depth': 20, 'min_samples_leaf': 39, 'criterion': 'gini'};RandomForest;94,75%;75,21%;77,80%;72,35%;72,36%;"[[251  15  18   5]
 [ 23 162  50   5]
 [  2  14 224   0]
 [  7  41  54  73]]";88,63%;70,46%;74,81%;67,33%;67,20%;"[[61  6  6  0]
 [ 3 37 18  2]
 [ 0  6 54  0]
 [ 1 15 13 15]]";6,12%
183;{'n_estimators': 10, 'max_depth': 7, 'min_data_in_leaf': 318, 'learning_rate': 0,4901836734693878};Lighgbm;94,64%;78,50%;77,82%;76,65%;76,89%;"[[258  12  15   4]
 [ 21 175  27  17]
 [  3  20 204  13]
 [  7  31  33 104]]";88,55%;73,42%;72,97%;70,71%;70,61%;"[[67  1  4  1]
 [ 6 34 14  6]
 [ 2  5 52  1]
 [ 3  9 11 21]]";6,08%
279;{'n_estimators': 137, 'max_depth': 14, 'min_data_in_leaf': 375, 'learning_rate': 0,033612244897959186};Lighgbm;94,60%;78,39%;79,17%;76,26%;76,70%;"[[259  12  16   2]
 [ 26 173  33   8]
 [  3  19 211   7]
 [  8  32  38  97]]";88,79%;74,68%;74,33%;71,73%;71,76%;"[[68  2  3  0]
 [ 4 38 14  4]
 [ 2  4 51  3]
 [ 3 10 11 20]]";5,81%
100;{'n_estimators': 122, 'max_depth': 3, 'min_samples_leaf': 1, 'criterion': 'entropy'};RandomForest;93,47%;71,61%;76,94%;68,03%;67,42%;"[[251  18  18   2]
 [ 16 145  76   3]
 [  0  13 227   0]
 [  7  38  77  53]]";87,90%;68,78%;76,45%;64,68%;63,25%;"[[64  4  5  0]
 [ 4 33 23  0]
 [ 1  3 56  0]
 [ 1 16 17 10]]";5,57%
102;{'n_estimators': 13, 'max_depth': 18, 'min_data_in_leaf': 414, 'learning_rate': 0,37604081632653064};Lighgbm;94,09%;77,33%;77,37%;75,28%;75,60%;"[[258  12  15   4]
 [ 30 165  32  13]
 [  2  22 209   7]
 [  9  34  34  98]]";88,53%;73,42%;73,25%;70,94%;71,25%;"[[66  3  3  1]
 [ 5 39 13  3]
 [ 4  6 47  3]
 [ 3 10  9 22]]";5,56%
259;{'n_estimators': 33, 'max_depth': 17, 'min_samples_leaf': 58, 'criterion': 'entropy'};RandomForest;93,08%;72,67%;77,11%;69,35%;68,92%;"[[251  21  16   1]
 [ 31 149  57   3]
 [  2  12 226   0]
 [  8  41  66  60]]";87,58%;69,62%;71,21%;66,20%;65,45%;"[[65  2  6  0]
 [ 8 30 18  4]
 [ 1  4 55  0]
 [ 2 13 14 15]]";5,49%
126;{'n_estimators': 25, 'max_depth': 6, 'min_data_in_leaf': 318, 'learning_rate': 0,09883673469387755};Lighgbm;93,54%;76,17%;76,52%;73,68%;73,85%;"[[257  13  13   6]
 [ 28 162  40  10]
 [  2  18 214   6]
 [  9  35  45  86]]";88,07%;74,68%;74,30%;71,73%;71,69%;"[[68  2  3  0]
 [ 4 37 14  5]
 [ 2  4 52  2]
 [ 3 10 11 20]]";5,47%
196;{'n_estimators': 157, 'max_depth': 15, 'min_samples_leaf': 49, 'criterion': 'entropy'};RandomForest;94,29%;75,11%;78,34%;71,98%;71,81%;"[[255  15  16   3]
 [ 27 158  51   4]
 [  1  11 228   0]
 [  7  40  60  68]]";88,90%;71,73%;74,95%;68,21%;67,76%;"[[66  3  4  0]
 [ 6 34 18  2]
 [ 0  5 55  0]
 [ 1 14 14 15]]";5,38%
174;{'n_estimators': 161, 'max_depth': 9, 'min_data_in_leaf': 125, 'learning_rate': 0,001};Lighgbm;92,27%;62,92%;48,99%;56,93%;51,35%;"[[280   4   5   0]
 [ 80 130  30   0]
 [ 35  21 184   0]
 [ 96  30  49   0]]";86,91%;56,96%;46,05%;51,20%;45,91%;"[[68  2  3  0]
 [22 25 13  0]
 [13  5 42  0]
 [29  2 13  0]]";5,36%
154;{'n_estimators': 44, 'max_depth': 15, 'min_samples_leaf': 68, 'criterion': 'entropy'};RandomForest;92,36%;69,81%;75,37%;65,93%;64,51%;"[[248  28  13   0]
 [ 38 142  58   2]
 [  2  12 226   0]
 [  7  51  74  43]]";87,18%;65,82%;73,10%;61,84%;60,35%;"[[63  5  5  0]
 [ 9 29 22  0]
 [ 1  5 54  0]
 [ 2 16 16 10]]";5,18%
201;{'n_estimators': 13, 'max_depth': 2, 'min_data_in_leaf': 250, 'learning_rate': 0,09883673469387755};Lighgbm;93,21%;75,42%;75,65%;72,96%;73,10%;"[[257  12  13   7]
 [ 35 156  39  10]
 [  2  19 213   6]
 [  6  38  45  86]]";88,88%;73,42%;74,14%;70,71%;70,68%;"[[65  4  4  0]
 [ 6 35 15  4]
 [ 1  4 54  1]
 [ 3 11 10 20]]";4,33%
223;{'n_estimators': 141, 'max_depth': 9, 'min_samples_leaf': 68, 'criterion': 'gini'};RandomForest;92,95%;72,88%;76,99%;69,68%;69,26%;"[[244  25  17   3]
 [ 29 158  51   2]
 [  0  14 226   0]
 [  7  46  62  60]]";88,68%;70,04%;73,53%;66,31%;65,30%;"[[63  6  4  0]
 [ 5 35 18  2]
 [ 0  4 56  0]
 [ 1 18 13 12]]";4,27%
266;{'n_estimators': 25, 'max_depth': 1, 'learning_rate': 0,13144897959183674};XGBoost;93,16%;75,85%;77,46%;73,40%;73,53%;"[[253  12  18   6]
 [ 23 152  56   9]
 [  1  11 226   2]
 [  5  36  49  85]]";88,59%;72,15%;70,95%;69,01%;68,58%;"[[67  1  4  1]
 [ 4 33 16  7]
 [ 1  4 53  2]
 [ 2 11 13 18]]";4,57%
139;{'n_estimators': 184, 'max_depth': 20, 'min_samples_leaf': 77, 'criterion': 'gini'};RandomForest;92,45%;70,76%;76,00%;67,00%;65,87%;"[[247  23  18   1]
 [ 31 151  56   2]
 [  0  16 224   0]
 [  7  50  72  46]]";88,33%;68,78%;75,86%;64,31%;62,07%;"[[65  4  4  0]
 [ 7 34 19  0]
 [ 0  4 56  0]
 [ 1 20 15  8]]";4,11%
3;{'n_estimators': 118, 'max_depth': 18, 'min_data_in_leaf': 395, 'learning_rate': 0,017306122448979593};Lighgbm;91,99%;73,62%;73,86%;71,16%;71,32%;"[[256  12  15   6]
 [ 39 148  41  12]
 [  4  24 206   6]
 [ 10  36  44  85]]";88,15%;71,73%;70,30%;68,59%;68,23%;"[[67  2  3  1]
 [ 8 34 13  5]
 [ 2  4 51  3]
 [ 3 12 11 18]]";3,84%
112;{'n_estimators': 91, 'max_depth': 9, 'min_samples_leaf': 77, 'criterion': 'entropy'};RandomForest;91,92%;69,07%;74,38%;65,14%;63,60%;"[[249  24  16   0]
 [ 41 134  62   3]
 [  1  12 227   0]
 [  7  49  77  42]]";87,87%;65,82%;72,80%;61,77%;60,18%;"[[64  4  5  0]
 [10 28 22  0]
 [ 1  5 54  0]
 [ 2 17 15 10]]";4,05%
175;{'n_estimators': 196, 'max_depth': 16, 'min_samples_leaf': 97, 'criterion': 'gini'};RandomForest;91,23%;66,95%;73,86%;62,19%;58,73%;"[[250  22  17   0]
 [ 42 140  57   1]
 [  2  16 222   0]
 [  7  55  93  20]]";87,60%;64,56%;72,91%;59,38%;54,75%;"[[65  4  4  0]
 [10 29 21  0]
 [ 1  3 56  0]
 [ 1 20 20  3]]";3,63%
192;{'n_estimators': 72, 'max_depth': 1, 'min_data_in_leaf': 443, 'learning_rate': 0,017306122448979593};Lighgbm;90,34%;70,13%;70,80%;66,56%;66,05%;"[[267   9   9   4]
 [ 57 134  42   7]
 [ 12  20 201   7]
 [ 15  42  58  60]]";87,51%;70,89%;71,05%;67,15%;66,18%;"[[69  1  2  1]
 [13 30 14  3]
 [ 3  2 54  1]
 [ 5 12 12 15]]";2,83%
25;{'n_estimators': 52, 'max_depth': 9, 'min_samples_leaf': 97, 'criterion': 'gini'};RandomForest;90,81%;67,27%;73,13%;62,49%;59,10%;"[[253  16  19   1]
 [ 44 138  57   1]
 [  2  15 223   0]
 [  8  55  91  21]]";87,30%;63,71%;72,08%;58,40%;53,68%;"[[67  0  6  0]
 [12 27 21  0]
 [ 1  5 54  0]
 [ 4 17 20  3]]";3,51%
190;{'n_estimators': 172, 'max_depth': 13, 'min_samples_leaf': 116, 'criterion': 'gini'};RandomForest;90,32%;63,03%;72,57%;57,62%;51,54%;"[[251  14  24   0]
 [ 56 119  65   0]
 [  1  16 223   0]
 [  8  57 108   2]]";87,21%;62,87%;71,62%;57,34%;51,38%;"[[66  3  4  0]
 [13 27 20  0]
 [ 1  4 55  0]
 [ 4 16 23  1]]";3,11%
115;{'n_estimators': 130, 'max_depth': 11, 'min_samples_leaf': 125, 'criterion': 'gini'};RandomForest;89,94%;62,71%;72,37%;57,25%;51,07%;"[[252  14  23   0]
 [ 54 118  68   0]
 [  1  18 221   0]
 [  7  58 109   1]]";86,81%;62,45%;46,57%;56,70%;49,84%;"[[67  1  5  0]
 [13 25 22  0]
 [ 2  2 56  0]
 [ 4 17 23  0]]";3,14%
145;{'n_estimators': 99, 'max_depth': 4, 'min_samples_leaf': 116, 'criterion': 'entropy'};RandomForest;89,50%;61,12%;45,87%;55,57%;48,70%;"[[257  19  13   0]
 [ 70  94  75   1]
 [  2  12 226   0]
 [  9  44 122   0]]";86,62%;60,76%;45,56%;55,03%;48,27%;"[[67  1  5  0]
 [15 23 22  0]
 [ 2  4 54  0]
 [ 4 13 27  0]]";2,89%
220;{'n_estimators': 87, 'max_depth': 18, 'min_samples_leaf': 125, 'criterion': 'entropy'};RandomForest;88,92%;60,91%;45,86%;55,30%;48,50%;"[[260  14  15   0]
 [ 72  93  74   1]
 [  2  16 222   0]
 [  9  41 125   0]]";86,20%;59,92%;44,24%;54,12%;46,53%;"[[68  1  4  0]
 [18 18 24  0]
 [ 2  2 56  0]
 [ 5 13 26  0]]";2,71%
49;{'n_estimators': 25, 'max_depth': 18, 'min_samples_leaf': 125, 'criterion': 'gini'};RandomForest;88,12%;61,44%;46,26%;55,95%;49,56%;"[[253  19  17   0]
 [ 59 110  71   0]
 [  2  21 217   0]
 [ 13  46 116   0]]";86,17%;61,18%;45,82%;55,59%;49,20%;"[[65  5  3  0]
 [11 27 22  0]
 [ 2  5 53  0]
 [ 8 11 25  0]]";1,95%
205;{'n_estimators': 188, 'max_depth': 9, 'min_samples_leaf': 125, 'criterion': 'entropy'};RandomForest;88,99%;61,02%;46,11%;55,46%;48,71%;"[[257  16  16   0]
 [ 69  96  75   0]
 [  2  15 223   0]
 [ 11  39 125   0]]";85,95%;58,65%;43,37%;52,95%;45,75%;"[[67  2  4  0]
 [17 18 25  0]
 [ 1  5 54  0]
 [ 4 11 29  0]]";3,04%
133;{'n_estimators': 165, 'max_depth': 3, 'min_samples_leaf': 125, 'criterion': 'entropy'};RandomForest;89,01%;60,70%;45,85%;55,13%;48,29%;"[[258  14  17   0]
 [ 72  92  76   0]
 [  2  15 223   0]
 [ 10  39 126   0]]";85,88%;58,65%;43,37%;52,95%;45,75%;"[[67  2  4  0]
 [17 18 25  0]
 [ 1  5 54  0]
 [ 4 11 29  0]]";3,13%
73;{'n_estimators': 95, 'max_depth': 4, 'min_samples_leaf': 135, 'criterion': 'entropy'};RandomForest;88,11%;60,70%;45,96%;55,06%;48,07%;"[[262  11  16   0]
 [ 75  88  77   0]
 [  4  13 223   0]
 [ 11  37 127   0]]";85,59%;58,65%;43,19%;52,95%;45,21%;"[[67  3  3  0]
 [18 16 26  0]
 [ 1  3 56  0]
 [ 5 10 29  0]]";2,52%
99;{'n_estimators': 21, 'max_depth': 10, 'min_data_in_leaf': 452, 'learning_rate': 0,033612244897959186};Lighgbm;88,27%;63,35%;64,20%;58,55%;55,78%;"[[269   6  11   3]
 [ 78 111  45   6]
 [ 25  21 192   2]
 [ 16  49  84  26]]";85,48%;67,09%;70,28%;62,72%;61,06%;"[[70  1  2  0]
 [14 27 18  1]
 [ 5  3 51  1]
 [ 7 11 15 11]]";2,80%
52;{'n_estimators': 161, 'max_depth': 2, 'min_samples_leaf': 164, 'criterion': 'gini'};RandomForest;87,88%;61,23%;46,33%;55,69%;48,89%;"[[256  11  22   0]
 [ 71  97  72   0]
 [  1  14 225   0]
 [ 12  43 120   0]]";85,38%;61,18%;47,57%;55,52%;48,73%;"[[66  1  6  0]
 [15 23 22  0]
 [ 1  3 56  0]
 [ 5  8 31  0]]";2,50%
16;{'n_estimators': 168, 'max_depth': 20, 'min_samples_leaf': 183, 'criterion': 'gini'};RandomForest;87,16%;60,70%;46,35%;55,08%;48,15%;"[[261   6  22   0]
 [ 73  89  78   0]
 [  5  12 223   0]
 [ 13  38 124   0]]";85,19%;59,92%;45,64%;54,20%;46,78%;"[[67  1  5  0]
 [19 19 22  0]
 [ 1  3 56  0]
 [ 7  8 29  0]]";1,98%
291;{'n_estimators': 37, 'max_depth': 11, 'min_data_in_leaf': 145, 'learning_rate': 0,001};Lighgbm;89,22%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";85,05%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";4,17%
160;{'n_estimators': 134, 'max_depth': 2, 'min_samples_leaf': 164, 'criterion': 'entropy'};RandomForest;86,98%;59,64%;45,24%;54,02%;46,74%;"[[262  10  17   0]
 [ 78  77  85   0]
 [  5  11 224   0]
 [ 12  34 129   0]]";84,92%;58,65%;44,95%;52,87%;44,91%;"[[68  1  4  0]
 [19 15 26  0]
 [ 2  2 56  0]
 [ 5  7 32  0]]";2,06%
271;{'n_estimators': 79, 'max_depth': 7, 'min_samples_leaf': 193, 'criterion': 'gini'};RandomForest;86,22%;58,69%;44,62%;53,05%;45,44%;"[[264   6  19   0]
 [ 82  67  91   0]
 [  7  10 223   0]
 [ 14  32 129   0]]";84,79%;59,07%;46,34%;53,29%;45,46%;"[[68  0  5  0]
 [19 16 25  0]
 [ 1  3 56  0]
 [ 8  5 31  0]]";1,42%
136;{'n_estimators': 145, 'max_depth': 9, 'min_samples_leaf': 154, 'criterion': 'entropy'};RandomForest;86,95%;59,75%;45,44%;54,12%;46,91%;"[[262  11  16   0]
 [ 77  78  85   0]
 [  3  13 224   0]
 [ 11  31 133   0]]";84,64%;58,23%;44,39%;52,53%;44,67%;"[[67  1  5  0]
 [19 15 26  0]
 [ 1  3 56  0]
 [ 5  7 32  0]]";2,31%
265;{'n_estimators': 25, 'max_depth': 8, 'min_samples_leaf': 154, 'criterion': 'gini'};RandomForest;86,39%;61,33%;46,59%;55,86%;49,27%;"[[252  14  23   0]
 [ 67 104  69   0]
 [  3  14 223   0]
 [ 14  41 120   0]]";84,47%;61,60%;47,30%;56,01%;49,80%;"[[65  3  5  0]
 [12 28 20  0]
 [ 1  6 53  0]
 [ 7  7 30  0]]";1,92%
217;{'n_estimators': 17, 'max_depth': 14, 'min_samples_leaf': 183, 'criterion': 'entropy'};RandomForest;84,61%;57,52%;44,09%;51,86%;43,80%;"[[266   8  15   0]
 [ 92  56  92   0]
 [  6  13 221   0]
 [ 19  17 139   0]]";84,39%;57,81%;44,05%;52,04%;44,33%;"[[68  0  5  0]
 [19 15 26  0]
 [ 2  4 54  0]
 [ 5  7 32  0]]";0,22%
226;{'n_estimators': 192, 'max_depth': 11, 'min_samples_leaf': 154, 'criterion': 'entropy'};RandomForest;86,88%;60,17%;45,75%;54,56%;47,51%;"[[261  12  16   0]
 [ 72  83  85   0]
 [  1  15 224   0]
 [ 12  32 131   0]]";84,36%;58,23%;43,66%;52,53%;44,68%;"[[67  1  5  0]
 [19 15 26  0]
 [ 1  3 56  0]
 [ 4  9 31  0]]";2,53%
214;{'n_estimators': 48, 'max_depth': 18, 'min_samples_leaf': 193, 'criterion': 'entropy'};RandomForest;85,38%;56,78%;44,72%;51,14%;42,55%;"[[266   4  19   0]
 [ 96  47  97   0]
 [ 10   7 223   0]
 [ 19  15 141   0]]";84,26%;57,38%;47,40%;51,62%;43,05%;"[[68  0  5  0]
 [19 12 29  0]
 [ 4  0 56  0]
 [ 8  4 32  0]]";1,11%
76;{'n_estimators': 60, 'max_depth': 5, 'min_samples_leaf': 193, 'criterion': 'gini'};RandomForest;85,79%;58,90%;45,26%;53,25%;45,53%;"[[264   6  19   0]
 [ 85  66  89   0]
 [  8   6 226   0]
 [ 12  30 133   0]]";84,26%;59,49%;47,38%;53,70%;46,06%;"[[68  0  5  0]
 [18 17 25  0]
 [ 2  2 56  0]
 [ 8  5 31  0]]";1,53%
274;{'n_estimators': 10, 'max_depth': 6, 'min_samples_leaf': 174, 'criterion': 'entropy'};RandomForest;83,78%;55,72%;40,57%;50,36%;42,91%;"[[251  19  19   0]
 [101  61  78   0]
 [  9  15 214   2]
 [ 23  35 117   0]]";83,35%;57,38%;41,79%;51,62%;44,31%;"[[68  2  3  0]
 [20 17 23  0]
 [ 4  5 51  0]
 [10 10 24  0]]";0,43%
43;{'n_estimators': 172, 'max_depth': 4, 'min_samples_leaf': 298, 'criterion': 'entropy'};RandomForest;81,85%;51,69%;25,72%;45,91%;32,96%;"[[279   0  10   0]
 [145   0  95   0]
 [ 31   0 209   0]
 [ 45   0 130   0]]";81,57%;51,05%;25,36%;45,15%;32,46%;"[[71  0  2  0]
 [30  0 30  0]
 [10  0 50  0]
 [14  0 30  0]]";0,28%
165;{'n_estimators': 106, 'max_depth': 1, 'min_data_in_leaf': 250, 'learning_rate': 0,001};Lighgbm;85,34%;30,61%;7,65%;25,00%;11,72%;"[[289   0   0   0]
 [240   0   0   0]
 [240   0   0   0]
 [175   0   0   0]]";81,46%;30,80%;7,70%;25,00%;11,77%;"[[73  0  0  0]
 [60  0  0  0]
 [60  0  0  0]
 [44  0  0  0]]";3,88%
268;{'n_estimators': 137, 'max_depth': 8, 'min_samples_leaf': 298, 'criterion': 'entropy'};RandomForest;81,55%;51,69%;25,71%;45,89%;32,95%;"[[280   0   9   0]
 [144   0  96   0]
 [ 32   0 208   0]
 [ 46   0 129   0]]";81,44%;51,05%;25,34%;45,15%;32,45%;"[[71  0  2  0]
 [33  0 27  0]
 [10  0 50  0]
 [14  0 30  0]]";0,11%
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 289, 'criterion': 'gini'};RandomForest;81,19%;52,22%;26,13%;46,46%;33,38%;"[[277   0  12   0]
 [131   0 109   0]
 [ 24   0 216   0]
 [ 37   0 138   0]]";80,92%;51,48%;25,69%;45,57%;32,80%;"[[71  0  2  0]
 [29  0 31  0]
 [ 9  0 51  0]
 [11  0 33  0]]";0,27%
82;{'n_estimators': 180, 'max_depth': 2, 'min_samples_leaf': 279, 'criterion': 'entropy'};RandomForest;80,64%;52,44%;26,33%;46,67%;33,55%;"[[277   0  12   0]
 [126   0 114   0]
 [ 22   0 218   0]
 [ 33   0 142   0]]";80,47%;51,90%;50,85%;45,98%;33,73%;"[[71  0  2  0]
 [28  1 31  0]
 [ 9  0 51  0]
 [10  0 34  0]]";0,17%
64;{'n_estimators': 110, 'max_depth': 2, 'min_samples_leaf': 289, 'criterion': 'gini'};RandomForest;80,74%;52,12%;26,11%;46,36%;33,32%;"[[277   0  12   0]
 [127   0 113   0]
 [ 25   0 215   0]
 [ 37   0 138   0]]";80,41%;51,48%;25,64%;45,57%;32,78%;"[[71  0  2  0]
 [32  0 28  0]
 [ 9  0 51  0]
 [10  0 34  0]]";0,33%
